Idade,Renda,Regiao,Genero,seguroauto,segurovidaEmp,segurovidaPF,SeguroResidencial,AGE_RANGE,INCOME_RANGE,InvestimentoFundos_cambiais,InvestimentoFundos_commodities,InvestimentoLCI,InvestimentoLCA,InvestimentoPoupanca,InvestimentoFundosMultimercado,InvestimentoTesouroDireto,Emprestimo_pessoal,Emprestimo_consignado,Emprestimo_limite_especial,Emprestimo_educacao,Emprestimo_viagem,InvestimentoCDB,InvestimentoFundos,tipo_financiamiento
-1.0105434492029755,-2.748729566090624,2,1.0,1,1,1,1,4,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
0.5247334547135077,-2.701759220607817,0,0.0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0
-0.9133033211725453,-2.6877841153520485,0,0.0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
-0.5885771494991232,-2.6871912632748503,2,0.0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,3
-0.5554021014678536,-2.6856596215743243,4,1.0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1
-1.2266890427536454,-2.6811071349077724,0,0.0,0,0,0,0,3,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1
2.2468738944795907,-2.6730425462394263,4,0.0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
-1.0113897514486714,-2.671603497488049,4,1.0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
0.7158285017915857,-2.6688951537254058,4,0.0,0,0,0,1,3,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,3
0.8316026490027512,-2.660130973885703,0,0.0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3
-0.7773025502892537,-2.655892274435715,3,0.0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,3
-1.2461539944046454,-2.6523030116429616,4,1.0,1,1,1,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
1.6337279174730908,-2.6399662871818794,0,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1
-0.4213478257496623,-2.637966536682871,0,0.0,1,1,0,0,3,0,1,1,1,1,1,1,0,1,0,0,0,0,1,1,3
-0.48346641058372336,-2.6267615038225136,4,0.0,1,0,0,0,3,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,3
-1.298370842964067,-2.615735226794542,3,0.0,1,1,1,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,1,1,3
-1.2525858914719321,-2.5967562442451153,3,0.0,0,0,0,1,7,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
0.6251049010530122,-2.5923567931472986,4,1.0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3
